Genetic marker,Order/suborder,,,,Family,,,,Genus,,,,Species,,,
,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max
18S rRNA,NA,NA,NA,NA,NA,NA,NA,NA,0.119,0.002,0.116,0.124,0.007,0.007,0,0.028
ITS1,NA,NA,NA,NA,NA,NA,NA,NA,0.604,0.13,0.392,0.709,0.084,0.026,0.063,0.114
ITS2,NA,NA,NA,NA,NA,NA,NA,NA,0.691,0.086,0.559,0.794,0.26,0.161,0,0.412
COI,NA,NA,NA,NA,NA,NA,NA,NA,0.293,0.02,0.243,0.321,0.119,0.026,0.067,0.174
COII,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.041,0.281,0.428,0.121,0.036,0.067,0.208
cytB,NA,NA,NA,NA,NA,NA,NA,NA,0.339,0.03,0.255,0.372,0.128,0.037,0.062,0.21
NAD1,NA,NA,NA,NA,NA,NA,NA,NA,0.388,0.039,0.292,0.426,0.134,0.038,0.057,0.236
12S rRNA,NA,NA,NA,NA,NA,NA,NA,NA,0.271,0.039,0.17,0.32,0.06,0.06,0.009,0.147
16S rRNA,NA,NA,NA,NA,NA,NA,NA,NA,0.283,0.021,0.225,0.311,0.078,0.031,0.023,0.118
