Genetic marker,Order/suborder,,,,Family,,,,Genus,,,,Species,,,
,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max
18S rRNA,NA,NA,NA,NA,0.067,0.005,0.059,0.077,0.049,0.006,0.038,0.058,0.017,0.006,0.003,0.032
ITS1,NA,NA,NA,NA,0.66,0.023,0.608,0.7,0.5,0.043,0.399,0.549,0.081,0.058,0.02,0.147
ITS2,NA,NA,NA,NA,0.633,0.037,0.591,0.688,0.524,0.046,0.426,0.568,0.25,NA,NA,NA
COI,NA,NA,NA,NA,0.208,0.005,0.19,0.216,0.171,0.008,0.149,0.189,0.083,0.019,0.003,0.116
COII,NA,NA,NA,NA,0.285,0.015,0.258,0.312,0.212,0.013,0.191,0.224,0.11,0.025,0.004,0.148
cytB,NA,NA,NA,NA,0.257,0.032,0.197,0.299,0.114,0.013,0.09,0.148,0.041,0.032,0.002,0.069
NAD1,NA,NA,NA,NA,0.253,0.021,0.124,0.287,0.139,0.012,0.103,0.168,0.043,0.029,0.006,0.07
12S rRNA,NA,NA,NA,NA,0.216,0.012,0.194,0.237,0.159,0.008,0.139,0.175,0.081,0.022,0,0.116
16S rRNA,NA,NA,NA,NA,0.231,0.011,0.212,0.253,0.191,0.008,0.178,0.21,0.079,0.023,0.001,0.112
