Genetic marker,Order/suborder,,,,Family,,,,Genus,,,,Species,,,
,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max
18S rRNA,NA,NA,NA,NA,0.019,0.001,0.017,0.022,0.013,0.001,0.011,0.015,0.003,0.001,0.002,0.007
28S rRNA,NA,NA,NA,NA,0.03,0.001,0.029,0.031,0.011,0.003,0.007,0.013,0,NA,NA,NA
ITS1,NA,NA,NA,NA,0.675,0.07,0.608,0.759,0.43,0.034,0.38,0.481,0.046,0.035,0.013,0.089
COI,NA,NA,NA,NA,0.171,0.009,0.156,0.191,0.14,0.008,0.126,0.154,0.108,0.014,0.067,0.123
COII,NA,NA,NA,NA,0.216,0.01,0.199,0.248,0.154,0.01,0.141,0.185,0.126,0.011,0.083,0.139
cytB,NA,NA,NA,NA,0.221,0.016,0.197,0.27,0.164,0.013,0.147,0.19,0.126,0.022,0.064,0.145
NAD1,NA,NA,NA,NA,0.241,0.016,0.207,0.273,0.126,0.02,0.062,0.142,0.171,0.014,0.151,0.204
12S rRNA,NA,NA,NA,NA,0.141,0.017,0.124,0.184,0.103,0.014,0.072,0.121,0.037,0.018,0.006,0.069
16S rRNA,NA,NA,NA,NA,0.166,0.008,0.154,0.19,0.137,0.013,0.111,0.151,0.082,0.021,0.018,0.109
