Genetic marker,Order/suborder,,,,Family,,,,Genus,,,,Species,,,
,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max
18S rRNA,NA,NA,NA,NA,0.087,0.003,0.079,0.094,0.068,0.004,0.063,0.078,0.023,0.014,0,0.046
28S rRNA,NA,NA,NA,NA,0.232,0.004,0.227,0.245,0.22,0.005,0.206,0.226,0.07,0.041,0,0.134
ITS1,NA,NA,NA,NA,0.405,0.023,0.339,0.461,0.263,0.034,0.213,0.319,0.138,0.04,0.045,0.19
ITS2,NA,NA,NA,NA,0.408,0.02,0.372,0.471,0.313,0.03,0.22,0.354,0.121,0.05,0,0.211
COI,NA,NA,NA,NA,0.306,0.011,0.288,0.33,0.266,0.017,0.229,0.285,0.184,0.028,0.107,0.225
COII,NA,NA,NA,NA,0.412,0.02,0.379,0.458,0.34,0.026,0.279,0.376,0.209,0.037,0.125,0.268
cytB,NA,NA,NA,NA,0.373,0.018,0.347,0.412,0.317,0.017,0.282,0.344,0.214,0.037,0.135,0.264
NAD1,NA,NA,NA,NA,0.427,0.019,0.402,0.474,0.373,0.018,0.306,0.4,0.233,0.047,0.077,0.3
12S rRNA,NA,NA,NA,NA,0.378,0.018,0.334,0.417,0.278,0.033,0.22,0.326,0.155,0.05,0.036,0.212
16S rRNA,NA,NA,NA,NA,0.346,0.016,0.311,0.381,0.252,0.022,0.205,0.294,0.141,0.029,0.039,0.187
